"","X.1","X","prolific_ID","Age","Gender","Nationality","Feelings","stimulus","block_number","trial_number","outcome","amount","startRT","RT","key_press","resp","factor","color","time_elapsed"
"1",1,1,60,18,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","1","gambleLoss","25","1644",926,"39","undefined","undefined","undefined",74217
"2",2,2,60,18,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","2","nonGamble","25","1593",382,"40","undefined","undefined","undefined",77203
"3",3,3,60,18,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","3","gambleWin","25","1265",2247,"39","undefined","undefined","undefined",81725
"4",4,4,60,18,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","4","nonGamble","25","693",964,"40","undefined","undefined","undefined",84389
"5",5,5,60,18,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","5","gambleLoss","25","1402",479,"39","undefined","undefined","undefined",87280
"6",6,6,60,18,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","6","gambleWin","25","839",1214,"37","undefined","undefined","undefined",90343
"7",7,7,60,18,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","7","nonGamble","25","402",1789,"40","undefined","undefined","undefined",93545
"8",8,8,60,18,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","8","nonGamble","25","623",3801,"40","undefined","undefined","undefined",98978
"9",9,9,60,18,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","9","gambleLoss","25","1018",1080,"39","undefined","undefined","undefined",102087
"10",10,10,60,18,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","10","gambleWin","25","789",684,"39","undefined","undefined","undefined",104568
"11",11,11,60,18,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","11","gambleWin","25","504",897,"39","undefined","undefined","undefined",106980
"12",12,12,60,18,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","12","gambleWin","25","293",640,"39","undefined","undefined","undefined",108922
"13",13,13,60,18,"Female","Belg","Somewhat happy","<img src='images/blue25.png'></img>","No music","13","gambleWin","25","359",709,"37","undefined","undefined","undefined",111000
"14",14,14,60,18,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","14","gambleWin","25","386",481,"37","undefined","undefined","undefined",112877
"15",15,15,60,18,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","15","nonGamble","25","566",1507,"40","undefined","undefined","undefined",115961
"16",16,16,60,18,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","16","gambleWin","25","457",3075,"39","undefined","undefined","undefined",120502
"17",17,17,60,18,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","17","gambleLoss","25","459",1078,"37","undefined","undefined","undefined",123045
"18",18,18,60,18,"Female","Belg","Somewhat happy","<img src='images/green25.png'></img>","No music","18","gambleWin","25","683",577,"39","undefined","undefined","undefined",125314
"19",19,19,60,18,"Female","Belg","Somewhat happy","<img src='images/yellow25.png'></img>","No music","19","gambleWin","25","515",638,"39","undefined","undefined","undefined",127479
"20",20,20,60,18,"Female","Belg","Somewhat happy","<img src='images/purple0.png'></img>","No music","20","nonGamble","25","598",1528,"38","undefined","undefined","undefined",130615
"21",21,21,60,18,"Female","Belg","Somewhat happy","<img src='images/orange25.png'></img>","No music","21","gambleLoss","25","394",1070,"39","undefined","undefined","undefined",133088
